time_period,elbe,elbf,enxq,eniw,elbh,elbi,bqkx,boki
1997,-6599,-3847,3730,-501,-1781,-7646,453,-16191
1998,-7857,-3494,2204,-667,-3387,-13471,452,-26220
1999,-8757,-3471,3592,-259,-3950,-20766,-50,-33661
2000,-8926,-4120,4932,116,-4847,-27737,525,-40057
2001,-10425,-4386,4400,-106,-5328,-32677,-286,-48808
2002,-10522,-3635,3937,188,-4830,-38637,-1194,-54693
2003,-12083,-3368,2556,454,-4274,-39337,-1312,-57364
2004,-13182,-3078,-137,-964,-6470,-43899,208,-67522
2005,-14700,-3326,-2310,-2648,-5338,-45316,-323,-73961
2006,-15739,-3566,-3484,-3176,-6725,-48340,-1062,-82092
2007,-16404,-4566,-3927,-3547,-8363,-57152,559,-93400
2008,-18849,-4713,-5537,-7366,-5245,-54222,62,-95870
2009,-19074,-2841,-3074,-5313,-5728,-50519,-2418,-88967
2010,-18809,-3263,-3334,-5251,-9561,-58283,-720,-99221
2011,-19114,-3159,-10185,-9671,-11795,-50453,324,-104053
2012,-19965,-2617,-14449,-10540,-13663,-51278,334,-112178
2013,-21761,-4136,-10613,-12359,-14760,-53718,-5226,-122573
2014,-21448,-4180,-10901,-8111,-16956,-61908,-4167,-127671
2015,-22204,-4244,-7275,-6170,-10954,-70330,-224,-121401
2016,-22859,-4074,-4918,-5502,-15881,-78452,-2012,-133698
2017,-23404,-4037,-1952,-7249,-21810,-76057,-417,-134926
2018,-24359,-4181,-3286,-9915,-19201,-70066,-2571,-133579
2019,-24255,-4924,-3489,-5911,-17830,-76385,-2297,-135091
2020,-26558,-6067,958,-4211,-8497,-71868,-1424,-117667
2021,-26641,-6475,-636,-18315,-24219,-70334,-5228,-151848
2022,-30703,-6353,-14662,-30720,-25607,-104035,16684,-195396
2023,-34850,-5888,-20527,-17398,-22032,-106499,15058,-192136
2024,-38203,-5134,-19122,-12698,-27035,-99245,-3585,-205022
2025,-41586,-5703,-13622,-13492,-32540,-113404,-22577,-242924
1997Q1,-1556,-979,1290,-110,-282,-1521,81,-3077
1997Q2,-1701,-1014,682,-164,-177,-2477,185,-4666
1997Q3,-1721,-919,915,-92,-623,-1873,119,-4194
1997Q4,-1621,-935,843,-135,-699,-1775,68,-4254
1998Q1,-1790,-842,673,-188,-883,-2466,138,-5358
1998Q2,-1925,-862,518,-189,-1066,-3177,116,-6585
1998Q3,-2067,-910,544,-126,-898,-3753,108,-7102
1998Q4,-2075,-880,469,-164,-540,-4075,90,-7175
1999Q1,-2147,-855,424,-134,-773,-5325,32,-8778
1999Q2,-2152,-887,616,-81,-1030,-4726,157,-8103
1999Q3,-2252,-863,1075,-25,-1142,-5023,-55,-8285
1999Q4,-2206,-866,1477,-19,-1005,-5692,-184,-8495
2000Q1,-2136,-970,1229,39,-1351,-5572,123,-8638
2000Q2,-2217,-970,1243,85,-1014,-6497,53,-9317
2000Q3,-2267,-1076,1320,-9,-1322,-8115,100,-11369
2000Q4,-2306,-1104,1140,1,-1160,-7553,249,-10733
2001Q1,-2469,-1249,1209,39,-909,-7909,71,-11217
2001Q2,-2657,-1142,846,-89,-1145,-8668,-201,-13056
2001Q3,-2531,-1054,1586,-21,-1745,-8611,-215,-12591
2001Q4,-2768,-941,759,-35,-1529,-7489,59,-11944
2002Q1,-2743,-967,895,31,-1054,-8464,-193,-12495
2002Q2,-2592,-971,1283,-22,-897,-9307,-532,-13038
2002Q3,-2485,-879,721,-9,-1168,-9682,-177,-13679
2002Q4,-2702,-818,1038,188,-1711,-11184,-292,-15481
2003Q1,-2699,-818,1125,207,-1131,-9753,-133,-13202
2003Q2,-3068,-839,604,169,-1098,-9283,-332,-13847
2003Q3,-3100,-772,373,97,-1290,-9613,-329,-14634
2003Q4,-3216,-939,454,-19,-755,-10688,-518,-15681
2004Q1,-3256,-865,414,-124,-1541,-10972,-81,-16425
2004Q2,-3177,-766,-298,-172,-1502,-11336,263,-16988
2004Q3,-3417,-702,-238,-304,-1839,-10439,-165,-17104
2004Q4,-3332,-745,-15,-364,-1588,-11152,191,-17005
2005Q1,-3480,-745,191,-422,-1901,-11810,-237,-18404
2005Q2,-3579,-859,-461,-498,-1370,-10803,21,-17549
2005Q3,-3768,-834,-1410,-616,-924,-11502,-88,-19142
2005Q4,-3873,-888,-630,-1112,-1143,-11201,-19,-18866
2006Q1,-3968,-931,-919,-993,-1780,-11703,-588,-20882
2006Q2,-3803,-855,-459,-767,-1259,-11163,-629,-18935
2006Q3,-4007,-805,-1375,-720,-1765,-12579,-184,-21435
2006Q4,-3961,-975,-731,-696,-1921,-12895,339,-20840
2007Q1,-3851,-984,-716,-864,-2111,-14479,-180,-23185
2007Q2,-3969,-1145,-366,-774,-1921,-13484,552,-21107
2007Q3,-4247,-1321,-1507,-893,-2352,-14402,-488,-25210
2007Q4,-4337,-1116,-1338,-1016,-1979,-14787,675,-23898
2008Q1,-4557,-1285,-703,-1363,-1711,-13941,-469,-24029
2008Q2,-4739,-1126,-2168,-1867,-1100,-14355,277,-25078
2008Q3,-4647,-1101,-1986,-1995,-1265,-13534,798,-23730
2008Q4,-4906,-1201,-680,-2141,-1169,-12392,-544,-23033
2009Q1,-4867,-854,-446,-1709,-1615,-12248,-1117,-22856
2009Q2,-4878,-757,-627,-1331,-1951,-12092,-576,-22212
2009Q3,-4554,-659,-1452,-1247,-590,-12893,-847,-22242
2009Q4,-4775,-571,-549,-1026,-1572,-13286,122,-21657
2010Q1,-4439,-717,212,-912,-2275,-14366,22,-22475
2010Q2,-4825,-719,-551,-1177,-2439,-14081,237,-23555
2010Q3,-4655,-878,-2363,-1514,-2307,-14240,-474,-26431
2010Q4,-4890,-949,-632,-1648,-2540,-15596,-505,-26760
2011Q1,-4348,-805,-1009,-2169,-3363,-10921,1734,-20881
2011Q2,-4381,-808,-2000,-2381,-2894,-15886,33,-28317
2011Q3,-5177,-851,-3792,-2915,-3378,-12269,-1168,-29550
2011Q4,-5208,-695,-3384,-2206,-2160,-11377,-275,-25305
2012Q1,-4749,-545,-2916,-2213,-2833,-12997,1416,-24837
2012Q2,-4936,-699,-3312,-2514,-5038,-13615,-693,-30807
2012Q3,-5139,-585,-3519,-2659,-3507,-13000,-74,-28483
2012Q4,-5141,-788,-4702,-3154,-2285,-11666,-315,-28051
2013Q1,-5483,-856,-1508,-3233,-4631,-11855,-413,-27979
2013Q2,-5092,-1013,-3787,-3578,-4122,-12713,-1515,-31820
2013Q3,-5628,-1121,-3068,-2663,-2368,-15170,24,-29994
2013Q4,-5558,-1146,-2250,-2885,-3639,-13980,-3322,-32780
2014Q1,-5497,-1103,-1550,-2195,-6070,-14469,1102,-29782
2014Q2,-5311,-1109,-2266,-2094,-2348,-15771,341,-28558
2014Q3,-5267,-958,-4234,-1738,-3693,-15316,-1168,-32374
2014Q4,-5373,-1010,-2851,-2084,-4845,-16352,-4442,-36957
2015Q1,-5461,-1061,-2286,-1778,-3292,-17388,-2833,-34099
2015Q2,-5230,-1143,-1413,-1624,-2106,-16266,651,-27131
2015Q3,-5721,-1011,-1376,-1696,-1671,-17660,-395,-29530
2015Q4,-5792,-1029,-2200,-1072,-3885,-19016,2353,-30641
2016Q1,-5572,-1018,-435,-1066,-1986,-19794,-1790,-31661
2016Q2,-5438,-1020,-692,-1347,-4341,-18552,532,-30858
2016Q3,-5787,-1040,-2227,-1170,-5533,-21155,-1996,-38908
2016Q4,-6062,-996,-1564,-1919,-4021,-18951,1242,-32271
2017Q1,-5506,-1185,-707,-1876,-4574,-18944,-50,-32842
2017Q2,-5976,-968,555,-1226,-5538,-20352,-97,-33602
2017Q3,-5812,-993,-648,-2016,-6018,-19802,-414,-35703
2017Q4,-6110,-891,-1152,-2131,-5680,-16959,144,-32779
2018Q1,-5802,-956,-1827,-2830,-3725,-16824,-798,-32762
2018Q2,-5858,-997,-71,-2347,-1872,-17442,-2983,-31570
2018Q3,-6211,-1123,-402,-2282,-6268,-16343,607,-32022
2018Q4,-6488,-1105,-986,-2456,-7336,-19457,603,-37225
2019Q1,-6689,-1166,-592,-1950,-6461,-21244,-12101,-50203
2019Q2,-6051,-1135,-3355,-1731,-3502,-18688,-1851,-36313
2019Q3,-5885,-1281,360,-1118,-4718,-19280,57,-31865
2019Q4,-5630,-1342,98,-1112,-3149,-17173,11598,-16710
2020Q1,-6384,-1304,-1229,-1119,-1954,-15834,-562,-28386
2020Q2,-6886,-1515,1249,-818,1533,-11916,6989,-11364
2020Q3,-6181,-1576,122,-720,-2952,-19026,-934,-31267
2020Q4,-7107,-1672,816,-1554,-5124,-25092,-6917,-46650
2021Q1,-6864,-1429,1599,-2464,-8630,-16809,-5047,-39644
2021Q2,-6443,-1719,361,-3961,-4054,-16501,727,-31590
2021Q3,-6689,-1981,-1409,-4697,-6959,-18987,-2861,-43583
2021Q4,-6645,-1346,-1187,-7193,-4576,-18037,1953,-37031
2022Q1,-7720,-1588,-1272,-7851,-9325,-26778,-7613,-62147
2022Q2,-7698,-1787,-4934,-6964,-5109,-25729,-5403,-57624
2022Q3,-7765,-1580,-4632,-9258,-3701,-24571,12095,-39412
2022Q4,-7520,-1398,-3824,-6647,-7472,-26957,17605,-36213
2023Q1,-8634,-1478,-4784,-5760,-6462,-28519,6088,-49549
2023Q2,-8492,-1575,-4645,-4467,-5820,-27726,3825,-48900
2023Q3,-8411,-1382,-4929,-2940,-4957,-24670,2449,-44840
2023Q4,-9313,-1453,-6169,-4231,-4793,-25584,2696,-48847
2024Q1,-9192,-1290,-4736,-2957,-6135,-22581,2765,-44126
2024Q2,-9919,-1407,-4995,-3299,-7555,-26090,-4846,-58111
2024Q3,-9344,-1090,-3208,-2895,-5344,-24680,810,-45751
2024Q4,-9748,-1347,-6183,-3547,-8001,-25894,-2314,-57034
2025Q1,-9637,-1437,-1975,-4776,-5708,-26212,-5483,-55228
2025Q2,-10241,-1365,-5723,-2864,-7209,-28626,-6806,-62834
2025Q3,-10892,-1475,-3096,-3027,-8462,-30243,-2171,-59366
2025Q4,-10816,-1426,-2828,-2825,-11161,-28323,-8117,-65496
